x name dist y pm error
0 andi 0.1 0.09931 ± 0.0127424095053
1 andi 0.1 0.099026 ± 0.0275789412415
2 andi 0.1 0.098729 ± 0.0384029946749
4 andi 0.1 0.097544 ± 0.0602706396183
8 andi 0.1 0.095825 ± 0.0772369730116
16 andi 0.1 0.094683 ± 0.0776766374143
32 andi 0.1 0.09368 ± 0.0837004778959
64 andi 0.1 0.092613 ± 0.0847993514126
128 andi 0.1 0.093991 ± 0.0775223838643
256 andi 0.1 0.095264 ± 0.0527015180047
512 andi 0.1 0.096186 ± 0.043092458737
1024 andi 0.1 0.09718 ± 0.0303573878982
2048 andi 0.1 0.09769 ± 0.0257150928445
