x name dist y pm error
0 cophylog 0.1 0.100612 ± 0.0588550762467
1 cophylog 0.1 0.0939571 ± 0.11791479975
2 cophylog 0.1 0.0874746 ± 0.129801386741
4 cophylog 0.1 0.0830784 ± 0.140188444602
8 cophylog 0.1 0.0747495 ± 0.138622508995
16 cophylog 0.1 0.0629816 ± 0.131130088081
32 cophylog 0.1 0.0566743 ± 0.123381927364
64 cophylog 0.1 0.0516291 ± 0.104393007429
128 cophylog 0.1 0.049075 ± 0.0964885485433
256 cophylog 0.1 0.0472257 ± 0.101004455347
512 cophylog 0.1 0.0454783 ± 0.0723284867808
1024 cophylog 0.1 0.044767 ± 0.0702833550707
2048 cophylog 0.1 0.0452963 ± 0.0613146801345
