x name dist y pm error
0 kr 0.1 0.107327 ± 0.0361256141816
1 kr 0.1 0.101277 ± 0.113795869872
2 kr 0.1 0.0967449 ± 0.129385470591
4 kr 0.1 0.0881255 ± 0.134789836412
8 kr 0.1 0.0819861 ± 0.140623611104
16 kr 0.1 0.0713391 ± 0.138395809185
32 kr 0.1 0.063872 ± 0.126623457542
64 kr 0.1 0.0576871 ± 0.112579305381
128 kr 0.1 0.0558671 ± 0.105880120892
256 kr 0.1 0.0516202 ± 0.102037248101
512 kr 0.1 0.0512436 ± 0.0812578611582
1024 kr 0.1 0.0500385 ± 0.0789580268244
2048 kr 0.1 0.0504068 ± 0.0758200501187
