x name dist y pm error
0 spaced 0.1 0.107268 ± 0.0289793719739
1 spaced 0.1 0.102743 ± 0.0934183600798
2 spaced 0.1 0.100104 ± 0.104997619021
4 spaced 0.1 0.0937031 ± 0.124835892275
8 spaced 0.1 0.0860168 ± 0.127281970444
16 spaced 0.1 0.081441 ± 0.123603802531
32 spaced 0.1 0.0772159 ± 0.106659270577
64 spaced 0.1 0.0706292 ± 0.101173613161
128 spaced 0.1 0.0711334 ± 0.0974519368715
256 spaced 0.1 0.0658112 ± 0.0817674751964
512 spaced 0.1 0.067424 ± 0.0759962499075
1024 spaced 0.1 0.066975 ± 0.071235875793
2048 spaced 0.1 0.067857 ± 0.0538314034742
