
length	num
9	1
9	1
7	2
7	5
9	1
9	4
8	3
18	6
9	1
7	4
8	8
11	1
11	7
9	1
8	2
9	3
21	3
9	1
7	3
7	5
8	3
9	1
7	4
9	3
8	3
8	6
18	2
8	1
8	1
8	3
8	2
8	2
8	2
9	7
11	1
8	3
7	4
8	10
8	1
8	6
11	1
10	5
7	7
8	7
8	7
10	2
8	1
13	5
10	2
7	3
9	4
10	1
10	1
8	2
9	1
10	2
9	1
9	1
8	1
9	2
15	1
9	5
9	1
7	1
8	1
9	3
8	1
8	2
22	1
7	7
7	4
9	2
8	3
8	6
7	3
10	1
8	2
9	1
8	7
8	8
10	3
7	1
9	1
8	1
7	2
8	1
8	1
7	3
7	1
8	3
9	7
7	23
14	4
10	2
8	5
10	2
8	2
8	2
8	2
10	1
8	1
7	7
10	3
8	5
8	6
8	4
8	2
8	2
9	2
8	7
8	5
9	5
15	4
8	6
8	1
9	1
11	1
9	1
8	1
9	1
19	3
10	5
8	3
9	3
8	4
9	1
8	1
7	5
8	2
8	1
7	6
8	2
8	8
8	2
8	2
8	5
8	1
8	2
9	2
8	1
8	4
9	5
9	3
8	3
8	2
8	1
8	1
9	1
7	2
8	6
10	1
8	1
9	5
9	7
11	4
8	1
7	2
11	1
9	1
11	2
10	1
8	3
7	2
8	1
9	3
7	6
7	5
9	3
8	5
12	1
7	1
14	2
10	1
8	5
7	6
28	2
9	1
10	1
8	2
8	1
10	1
7	3
9	2
10	5
7	5
7	1
10	5
8	25
7	4
9	4
10	1
9	3
9	1
9	9
7	3
8	6
10	1
9	6
7	19
9	5
7	3
10	2
8	2
9	1
11	1
8	2
7	5
8	3
8	5
8	2
9	2
7	9
13	1
8	1
8	6
8	3
9	3
10	2
7	3
8	1
11	1
8	1
10	3
8	1
8	4
7	21
13	1
9	3
7	3
8	5
7	4
9	2
7	6
9	1
8	3
8	4
8	4
7	19
9	5
7	3
8	1
11	1
7	5
7	5
9	1
8	2
8	4
8	2
9	2
8	2
12	7
8	2
8	1
8	5
8	4
8	1
11	1
8	4
9	8
8	7
7	24
8	5
9	1
22	1
9	1
9	9
8	2
7	17
8	1
7	5
8	5
7	16
7	7
8	6
8	2
10	1
8	6
9	1
8	6
8	2
17	4
8	1
8	7
9	2
10	1
8	2
7	2
8	14
8	2
7	4
10	1
7	3
8	2
9	4
8	4
9	8
8	2
9	3
7	5
42	1
8	7
10	1
7	2
10	1
9	1
8	3
8	2
10	3
18	2
7	6
8	6
7	7
7	2
12	1
8	3
8	3
8	1
7	4
7	5
10	4
8	6
8	1
7	8
7	6
14	1
10	3
9	1
11	2
8	7
6	17
8	1
10	1
8	2
7	9
8	1
8	2
9	1
7	5
9	5
9	2
8	3
17	1
8	3
14	1
9	1
11	1
7	4
7	17
23	4
9	1
7	11
7	3
7	2
10	2
11	1
9	2
8	4
7	4
8	1
8	8
10	1
8	1
9	1
9	7
9	1
10	1
8	1
8	1
11	1
9	1
8	3
10	1
8	3
9	4
8	1
20	4
8	5
10	3
8	10
11	1
9	1
7	6
7	5
7	3
8	4
9	3
9	1
9	2
13	2
8	6
8	1
7	3
7	21
9	2
10	7
9	1
7	5
9	1
11	3
9	1
7	7
8	7
9	7
7	24
10	1
7	1
15	1
10	1
8	1
7	8
8	2
8	11
7	4
9	3
20	5
8	4
19	1
9	1
10	4
8	8
8	3
9	1
8	4
23	1
13	4
8	8
8	1
8	1
7	2
7	1
8	1
10	5
9	1
8	7
8	6
7	4
8	6
8	2
12	2
9	2
18	4
10	1
8	1
8	2
21	1
8	2
8	1
8	9
8	1
8	3
9	1
8	2
9	3
9	1
8	1
10	4
11	2
17	2
10	2
7	27
10	6
10	2
9	1
8	6
8	4
8	2
8	1
9	1
15	1
7	3
9	5
8	1
11	1
9	3
11	5
10	1
7	6
8	24
8	1
11	1
7	8
8	6
9	1
8	6
8	8
9	1
8	7
8	3
7	2
7	4
8	2
10	6
19	1
8	1
7	4
8	5
9	3
8	1
8	4
8	11
8	3
9	2
15	1
21	1
10	1
9	1
7	4
7	7
7	7
10	4
8	2
8	2
9	5
9	3
9	6
8	5
7	22
9	1
8	5
7	4
8	1
8	3
9	1
9	1
9	2
9	1
8	8
8	3
7	5
8	8
16	2
7	23
8	1
8	4
19	1
9	2
7	18
8	1
7	10
8	10
8	14
8	1
9	2
7	2
8	5
7	4
9	1
10	1
8	8
9	4
9	6
23	1
8	4
11	1
10	3
7	6
8	1
17	1
15	1
10	2
8	1
8	2
8	2
8	1
9	5
8	4
8	2
8	2
10	2
7	5
8	6
10	1
16	4
14	3
8	3
9	2
8	2
8	1
7	2
8	1
16	1
8	7
9	3
16	3
8	1
9	2
10	1
19	4
9	1
8	1
8	2
9	1
36	1
7	2
8	2
12	2
11	1
8	2
7	2
7	5
8	3
7	3
8	1
8	2
21	1
10	2
11	1
14	2
10	1
18	1
11	1
9	2
9	2
8	2
8	1
8	1
8	5
8	1
8	7
9	2
8	2
8	1
9	2
7	5
8	4
10	3
9	1
8	2
15	1
9	8
10	1
9	7
8	4
9	1
8	2
10	3
13	1
8	1
8	1
8	5
11	1
8	8
19	1
8	7
8	6
7	5
8	1
9	1
8	6
8	3
7	4
8	4
8	1
9	1
7	3
9	1
8	5
9	3
8	7
9	2
24	3
8	9
9	6
7	12
8	8
22	1
7	3
8	5
26	5
10	8
7	6
8	6
7	3
13	4
9	1
18	2
10	4
8	4
7	4
8	6
8	2
11	4
8	9
10	2
8	5
11	1
8	2
8	1
8	6
9	1
7	4
10	5
8	4
9	3
8	1
8	3
7	2
7	6
8	10
20	1
8	5
8	1
9	1
8	5
8	5
10	2
8	6
7	6
8	1
8	3
8	7
11	1
8	5
23	1
14	2
8	5
11	1
7	3
8	6
7	5
9	2
9	1
7	6
8	1
7	4
7	4
7	3
11	4
8	3
8	4
9	3
8	1
9	4
10	4
12	1
7	2
14	1
8	2
16	5
7	4
7	2
7	4
9	6
7	4
17	1
8	4
9	1
9	6
8	1
9	2
8	1
9	12
11	2
11	1
10	1
7	2
7	2
9	2
8	3
14	1
8	1
7	2
9	2
7	18
7	5
8	5
8	4
8	1
9	7
11	4
8	2
8	1
9	1
12	2
7	5
8	3
8	5
8	7
7	3
9	2
9	1
7	8
7	1
11	4
9	1
8	8
14	1
8	6
10	1
8	2
7	5
8	6
9	3
8	8
9	1
8	5
9	5
9	4
7	2
8	5
26	1
8	2
8	6
10	1
9	1
9	1
8	1
8	4
10	1
9	9
12	5
9	1
9	2
21	1
7	4
9	3
11	4
8	2
9	7
8	1
9	2
7	5
9	2
10	1
8	4
9	1
8	1
8	1
8	4
7	19
7	4
8	5
8	2
9	4
7	5
13	1
9	2
8	5
7	3
12	2
9	1
7	3
7	4
8	5
8	1
9	2
9	2
9	2
9	3
13	2
11	5
9	6
9	1
9	2
8	3
8	1
7	5
7	23
13	3
19	1
8	7
8	6
8	7
8	9
11	1
9	3
9	1
8	7
10	1
8	7
8	2
11	1
8	3
8	5
7	4
8	5
7	6
9	1
11	1
9	1
9	1
6	18
7	4
19	1
13	1
7	2
8	4
8	2
8	3
8	1
9	1
7	3
15	1
8	5
7	3
8	5
7	4
10	2
7	6
8	1
19	1
8	1
8	5
9	1
7	1
9	1
10	1
23	1
16	1
9	5
10	1
7	7
8	1
7	8
9	1
13	1
11	1
8	3
8	3
10	4
9	4
8	2
8	6
8	2
10	1
8	1
11	1
11	5
8	3
7	2
7	3
8	4
9	1
10	2
9	6
7	3
9	1
8	2
8	3
8	4
8	1
7	5
8	7
9	1
8	6
9	2
8	4
7	1
20	1
9	1
